Account_No,Account_Balance,Account_Type,Account_Type_Description,Customer_Id
HYZF844234,76801.39,Saving,Synergistic mission-critical groupware,MYYE218909
KCKI526075,50336.09,Current,Decentralized 4thgeneration ability,SNFV185188
WMZJ332262,51858.4,Saving,Operative uniform middleware,JNWL190986
WBMM470703,16280.5,Saving,Intuitive composite process improvement,KIRL741721
QZJE410740,34667.71,Saving,Down-sized interactive knowledgebase,GENA931066
NELS062003,84608.78,Current,Horizontal object-oriented knowledge user,FPCV950052
IKTP931839,63542.2,Saving,Right-sized tertiary middleware,NKYJ235677
NBSX955049,12604.51,Current,User-friendly directional parallelism,JNWL190986
IMDE128981,50307.06,Saving,Ameliorated 24hour standardization,BHBO053457
CFVO622398,17202.94,Saving,User-friendly motivating standardization,SADT358895
